NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RWE,DE0007037129,20667.98,15371.58,19838.0,18683.99,10901.29,21899.59,31376.67,45486.74,54738.34,62781.79,34202.06,44502.1,35442.72,25758.22,20729.26,22896.93,15932.65,6657.2,8043.88,11683.11,14360.84,21467.68,25921.38,30646.89,28505.63,24506.16
MERCEDES-BENZ GROUP N,DE0007100000,93643.87,64518.72,48230.59,40363.43,29905.78,44842.59,47023.16,56656.34,72510.61,86488.05,23114.84,44502.96,75303.11,68006.85,61804.57,98249.35,102636.72,73412.45,77632.79,92542.19,64598.03,46194.42,86240.0,86793.44,81400.23,83007.4
SAP,DE0007164600,20760.34,39407.8,22141.15,42742.53,27531.34,49892.7,51212.43,65486.82,58593.47,60637.4,40009.84,54748.49,73098.61,82933.97,95506.72,97817.39,85807.43,93696.98,114481.19,128441.35,131738.2,155639.33,152579.24,140919.21,138175.94,230363.65
SIEMENS,DE0007236101,36968.44,107646.94,68778.44,50667.02,34110.16,69647.73,70365.62,82696.61,98790.76,124078.93,48257.38,78802.42,118394.81,92309.41,90065.1,116147.57,97583.13,80107.1,109735.94,115928.78,94847.06,89991.17,132993.25,124419.83,119495.3,151748.56
CECONOMY,DE0007257503,21476.15,11744.46,14369.06,10041.58,5490.67,14510.91,17958.91,16772.43,23194.8,27285.96,9765.09,16655.96,23705.16,12872.29,9935.93,13904.39,10844.77,8092.28,10057.37,4243.21,2051.14,1774.88,2236.58,1433.05,1172.32,1054.14
SUEDZUCKER,DE0007297004,1655.63,1074.26,1445.25,2451.84,2763.33,3364.65,3686.34,4888.22,4144.61,4170.58,3430.75,4419.01,5375.68,5541.59,8803.5,5578.29,3129.35,3084.46,5177.1,3753.19,3040.46,3376.59,3259.14,2817.46,3471.73,2880.43
HEIDELB.DRUCKMASCHINEN,DE0007314007,4743.99,4582.88,5236.07,3537.79,1260.83,3200.75,2993.65,3670.74,3828.16,2108.43,332.36,547.36,1138.78,450.03,615.52,853.87,617.75,516.18,620.09,992.52,518.27,274.75,442.76,862.88,539.21,351.22
THYSSENKRUPP,DE0007500001,6947.58,12640.32,9112.53,7670.31,4530.53,9903.87,11739.7,13074.04,26465.91,29945.01,9564.32,16310.98,20883.58,14173.14,11534.22,15257.27,14851.5,9357.47,14402.1,17126.36,9591.76,6245.9,8448.14,6088.0,4545.01,2991.99
VOLKSWAGEN PREF.,DE0007664039,3834.28,2410.44,3216.69,3145.22,2935.73,3372.01,3835.2,5396.02,9188.92,14410.15,4776.86,8595.9,27952.48,31874.16,36664.84,44089.4,45595.56,23122.66,31032.66,42236.21,35249.51,34633.55,43396.71,42812.62,27883.67,27438.12
DEUTSCHE LUFTHANSA,DE0008232125,8399.73,8747.89,8123.09,5742.17,3026.76,6800.76,6498.85,7571.08,12845.4,11142.49,5243.27,6849.7,9320.81,6398.88,8965.19,11919.19,6830.49,6925.08,6776.91,15819.42,12689.82,6679.14,8591.77,9572.34,12136.89,9349.35
HANNOVER RUECK,DE0008402215,1487.73,982.55,2678.28,2107.59,2264.86,4395.84,5121.85,4518.85,5511.17,5743.11,4165.49,5432.96,6971.74,6902.74,9156.04,10133.21,11499.8,12488.24,13693.28,16625.68,17916.85,22917.69,20640.21,22757.39,23428.99,30779.94
