NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
M6-METROPOLE TV,FR0000053225,13741.0,13741.0,6562.0,10830.0,12262.0,15437.0,14373.0,14373.0,381.0,381.0,381.0
UBISOFT ENTERTAINMENT CAT A,FR0000054470,39747.0,39747.0,12095.0,6233.0,7342.0,8106.0,9510.0,29499.0,29499.0,16355.0,13206.0
TF1 (TV.FSE.1),FR0000054900,3320.0,3320.0,2418.0,1686.0,1626.0,1589.0,1089.0,866.0,1350.0,1350.0,1230.0
COVIVIO,FR0000064578,3925.0,3682.0,3143.0,3371.0,2479.0,2885.0,3393.0,3144.0,2443.0,3521.0,3012.0
SAFRAN,FR0000073272,222900.0,222900.0,297551.0,299429.0,256913.0,261317.0,386495.0,268333.0,238854.0,264420.0,269297.0
JCDECAUX,FR0000077919,153638.0,148751.0,148751.0,133877.0,116609.0,65731.0,33500.0,30300.0,7400.0,7400.0,900.0
L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,FR0000120073,10853000.0,9257000.0,11716000.0,11174000.0,11679000.0,12422000.0,12207000.0,12516000.0,20829000.0,20322145.0,21510000.0
CARREFOUR,FR0000120172,1600000.0,1600000.0,1602000.0,1563100.0,1494700.0,1494000.0,1005200.0,965100.0,869000.0,631402.0,626321.0
CNP ASSURANCES DEAD - DELIST.20/06/22,FR0000120222,2015.0,2074.0,2246.0,2265.0,2051.0,1855.0,1500.0,1316.0,2815.0,2815.0,2815.0
TOTALENERGIES,FR0000120271,4300000.0,4130000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,3000000.0,2000000.0,2000000.0,2000000.0
L'OREAL,FR0000120321,125125.0,125125.0,140884.0,144236.0,148144.0,167077.0,160393.0,184400.0,133578.0,191330.0,28300.0
ACCOR,FR0000120404,1381299.0,1381299.0,1425000.0,1604000.0,1708000.0,1829000.0,1694000.0,1070000.0,1662000.0,2584000.0,2853000.0
BOUYGUES,FR0000120503,287000.0,511600.0,350000.0,780000.0,586000.0,710000.0,440000.0,302100.0,280500.0,200000.0,200000.0
QUADIENT,FR0000120560,39009.0,26309.0,6767.0,7791.0,7791.0,6996.0,6496.0,4972.0,3276.0,3276.0,2831.0
SANOFI,FR0000120578,655382.0,741507.0,610239.0,528388.0,443198.0,376098.0,370508.0,255866.0,192701.0,150429.0,109367.0
